trstepF lambdaF nF trstepR lambdaR nR maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T)
100 0.0 5 100 0.1 5 0.99916 11.99902 0.99379 11.80797 0.85470 7.42313 0.81224 7.06603 0.71954 3.43473 0.79918 2.49802 
100 0.0 5 100 0.1 5 0.99818 11.99219 0.95217 11.79006 0.71661 6.51751 0.79933 5.30979 0.73177 3.97278 0.82381 2.60818 
100 0.0 5 100 0.1 5 0.98680 11.92402 0.95113 11.33719 0.80011 5.37177 0.79850 3.58320 0.85633 2.54070 0.91530 2.38493 
100 0.0 5 100 0.1 5 0.99818 11.96909 0.89220 10.37924 0.81733 5.91255 0.92228 4.53631 0.85772 2.00765 0.92349 1.92870 
100 0.0 5 100 0.1 5 0.99916 11.95818 0.99244 11.88028 0.97281 10.69291 0.86846 6.06542 0.77080 3.08521 0.84875 2.69755 
100 0.0 5 100 0.1 5 0.99916 11.87987 0.91321 11.15324 0.94025 10.16928 0.84602 5.74092 0.82454 3.51584 0.82346 2.31533 
100 0.0 5 100 0.1 5 0.99916 11.95888 0.98689 11.94152 0.89255 10.67324 0.85635 4.49739 0.81746 2.27287 0.81585 2.33110 
100 0.0 5 100 10.0 5 0.99916 11.94254 0.95552 9.40450 0.95731 8.81907 0.86852 4.17522 0.86943 3.46550 0.86009 2.23691 
100 0.0 5 100 10.0 5 0.99690 11.85820 0.94121 10.75147 0.74889 6.49288 0.83401 4.52429 0.82589 3.29543 0.86106 2.43430 
100 0.0 5 100 10.0 5 0.99916 11.99884 0.99867 11.97268 0.93868 11.15917 0.73373 3.41534 0.84066 2.85860 0.93038 2.41965 
100 0.0 5 100 10.0 5 0.99458 11.98138 0.95629 11.77765 0.49192 2.79294 0.86130 3.89627 0.79672 3.09987 0.89377 2.47892 
100 0.0 5 100 10.0 5 0.99916 11.73225 0.99867 11.48142 0.93358 9.15404 0.82465 5.18604 0.73557 1.35694 0.86057 2.28196 
100 0.0 5 100 10.0 5 0.99916 11.99902 0.91647 11.33601 0.79024 9.21504 0.73818 7.55701 0.65503 4.15155 0.76970 2.85706 
100 0.0 5 100 10.0 5 0.99916 11.99347 0.99916 11.74075 0.97668 9.51631 0.96548 5.63788 0.87833 1.80342 0.87705 2.21306 
100 0.0 5 100 10.0 5 0.99916 11.99347 0.96890 11.64742 0.95874 9.30635 0.93723 5.04489 0.87597 2.39857 0.87924 2.31609 
100 0.0 5 100 10.0 5 0.99867 11.99689 0.99788 11.76138 0.96812 8.53567 0.84669 2.59823 0.82453 1.73099 0.83949 2.31295 
100 0.0 5 100 10.0 5 0.99916 11.99805 0.65062 8.94813 0.82686 7.76332 0.75110 5.57379 0.65583 4.47239 0.77068 2.90715 
100 0.0 5 100 1e-06 5 0.99916 11.99591 0.99476 11.84637 0.96635 10.78485 0.94535 5.79331 0.87667 1.77799 0.88242 2.19837 
100 0.0 5 100 1e-06 5 0.99323 11.97546 0.91485 11.75169 0.70881 9.98313 0.72959 5.71985 0.63545 3.29019 0.74260 3.07976 
100 0.0 5 100 1e-06 5 0.99916 11.99737 0.94521 11.18493 0.92468 10.19142 0.94430 7.00028 0.82238 1.93033 0.84182 2.18873 
100 0.0 5 100 1e-06 5 0.99818 11.98080 0.99916 11.94568 0.96257 8.14458 0.90017 3.73609 0.84523 1.68542 0.84615 2.07206 
100 0.0 5 100 1e-06 5 0.99916 11.99493 0.81350 10.95674 0.83252 10.79593 0.85644 3.38562 0.86477 2.46356 0.93126 2.22328 
100 0.0 5 100 1e-06 5 0.99916 11.99756 0.97317 10.44037 0.92846 7.61138 0.81627 4.70187 0.75375 1.94005 0.75282 1.87868 
100 0.0 5 100 1e-06 5 0.99916 11.98236 0.99916 11.50111 0.77301 7.84011 0.86720 4.71357 0.83836 2.10524 0.91793 2.08063 
100 0.0 5 100 1e-06 5 0.99916 11.98810 0.99916 11.94628 0.98484 9.64183 0.81906 6.32927 0.80196 4.27414 0.81805 2.18079 
100 0.0 5 100 1e-06 5 0.99916 11.99805 0.95355 11.82381 0.87061 6.94320 0.79662 5.30742 0.74486 1.65064 0.85504 2.39454 
100 0.0 5 100 1e-06 5 0.99751 11.94224 0.84639 11.61976 0.71831 3.07266 0.67009 2.03491 0.78930 3.06661 0.85044 2.48908 
100 0.0 5 100 1e-07 5 0.99916 11.99561 0.99388 11.19215 0.88828 6.67883 0.82225 2.98262 0.78083 1.54417 0.79350 2.10949 
100 0.0 5 100 1e-07 5 0.99867 11.98975 0.99049 11.83473 0.84091 10.52709 0.58832 3.40131 0.84620 2.95351 0.85755 2.47169 
100 0.0 5 100 1e-07 5 0.97182 11.76125 0.49627 7.18938 0.83771 7.63065 0.74042 5.80984 0.78815 2.65777 0.79947 2.66450 
100 0.0 5 100 1e-07 5 0.99916 11.99130 0.87106 10.38150 0.79064 3.61248 0.93863 2.83742 0.73769 5.86047 0.94008 1.94633 
100 0.0 5 100 1e-07 5 0.99867 11.88945 0.99146 11.89762 0.96103 9.43603 0.82576 2.33881 0.90575 2.99709 0.92524 2.45860 
100 0.0 5 100 1e-07 5 0.99916 11.95210 0.92473 10.43089 0.99128 10.73448 0.92963 5.86497 0.86252 2.23305 0.85369 1.96028 
100 0.0 5 100 1e-07 5 0.99916 11.98520 0.93253 10.89313 0.97515 8.73068 0.94632 6.30781 0.89139 1.75801 0.87702 2.03296 
100 0.0 5 100 1e-07 5 0.99916 11.99658 0.81951 10.68275 0.92831 7.76692 0.65740 3.91403 0.75624 3.29618 0.81174 2.66683 
100 0.0 5 100 1e-07 5 0.99751 11.87991 0.98884 11.57309 0.89558 9.03356 0.87474 7.12023 0.83684 3.13679 0.82580 2.53281 
100 0.0 5 100 0.1 5 0.99916 11.99444 0.81239 10.60142 0.90235 8.32548 0.91128 7.62065 0.88738 3.40077 0.85209 2.42756 
100 0.0 5 100 0.1 5 0.99916 11.99396 0.99672 11.94573 0.97764 10.92707 0.93693 6.15657 0.90755 2.69201 0.91474 2.01008 
100 0.0 5 100 0.1 5 0.99916 11.99902 0.90183 11.41999 0.77283 6.25263 0.84267 6.61271 0.75084 1.74311 0.78228 2.57017 
100 0.0 5 100 0.1 5 0.99769 11.94037 0.99507 11.31896 0.76479 7.52307 0.87172 6.78790 0.75653 3.02059 0.81067 2.61351 
100 0.0 5 100 0.1 5 0.99916 11.93521 0.99867 11.34349 0.88486 8.06521 0.84407 5.65730 0.80890 3.16939 0.80442 2.76843 
100 0.0 5 100 0.1 5 0.99916 11.99737 0.65359 8.98757 0.81872 10.43328 0.63388 3.03423 0.76326 2.82977 0.77348 2.57331 
100 0.0 5 100 0.1 5 0.99446 11.82912 0.96515 11.56834 0.90840 6.45729 0.83095 4.13547 0.73459 2.43621 0.83800 2.40814 
100 0.0 5 100 0.1 5 0.99916 11.99444 0.99916 11.98224 0.98540 11.00897 0.94096 6.86704 0.82247 2.21131 0.81200 1.95128 
